geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,11.4,13.4,13.5,10.6,11.9,20.2,14.6,13,0,8.34,0,5.6,5,7.72,0,4.61,0,5.7,6.28,6.13,5.88,6.26,10.1,9.45,9.59,9.32,8.54,8.55,7.64,7.42,6.95,7.51,9.97,7.45,6.31,5.65,5.55,6.34,6.07,6.37,6.6
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,7.8,0,0,7.5,0,0,9.1,10.8,10.7,10,8.24,0,0,0,7.58,6.69,4.02,5.28,6.75,9.44,9.82,12.5,17.2,16.9,12,12.6,11,10.7,9.1,9.1,8.74,8.87,9.37,8.64,7.91,7.55,7.07,6.72,6.36,6.78,6.87
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,5.32,0,0,0,0,
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,13.9,0,0,9.4,0,0,0,0,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,4.02,4.63,3.34,3.51,3.37,4.57,5.24,4.89,4.2,4.84,4.33,5.14,5.58,5.79,5.41,5.04,4.27,3.2,4.14,6.59,5.96,8.59,8.6,7.7,7.65,7.62,7.24,6.83
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,3.55,0,0,2.08,
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.9,3.9,4.2,4.3,4.3,4.3,4.8,5,6.2,11.1,0,14,0,0,9.33,9.35,15.6,17.2,19,19.8,13.2,12.5,12.3,11.6,9.81,8.75,7.04,7.92,11,13.6,15.9,17.7,16.4,15.5,12.5,10.6
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,4.86,4.73,4.42,4.29,3.81,3.13,2.56,1.71,1.65,1.8,1.73,1.74,1.35,1.47,2.37,2.97,3.37,3.13,2.4,0,0,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,8,3,1.7,1.5,1.6,2.4,2.4,2.9,2.9,2.9,2.9,2.7,2.2,1.7,1.4,2.2,2,1.8,2,1.9,2.3,2.7,2.8,4.3,3.21,2.63,2.6,3.78,3.47,4.38,3.86,3.39,3.18,5.27,6.13,8.06,12.5,16.5,17,15,12.6,10.9
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.44,2.2,3.42,3.58,3.4,3.29,3.59,4.58,7.17,7.33,6.69,5.79,5.85,7.06,6.45,5.81,4.22,3.46,5.85,6.38,5.8,6.02,5.9,5.1,4.23,3.38,2.34
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2.5,5.8,5.5,6.1,6.6,5.1,6.5,9.2,9.7,9.16,7.78,6.37,4.56,5.2,5.78,7.51,7.84,8.3,8.29,10.4,7.21,5.61,5.54,4.52,3.85,4.49,4.04,3.62,4.24,5.09,5,4.44,3.33,3.45,3.17,6.63,8.36,7.67,7.51,6.75,6.38,5.92,5.77,5.57
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,9.85,0,0,0,0,0,19.7,0,13.1,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,9.52,9.25,7.83,7.93,9.38,12.3,10.4,10.5,4.87,3.84,3.81,3.22,4.12,4.12,4.69,5.15,5.34,4.83,5.45,4.99,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,5.14,5.76,2.78,5.18,5.63,5.85,5.44,5.38,7.98,6.92,8.38,10.3,3.84,3.62,5.79,5.36,4.53,3.18,3.02,2.63,3.2,3.77,3.52,2.93,2.85,2.7,3.06,3,3.7,3.05
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.72,3.47,3.94,3.82,3.85,5.65,4.68,0,0,0,0,5.5,5.1,5.78,6.35,7.5,7.3,7.38,6.9,5.19,4.93,4.94,5.06,5.67,6.22,7.49,5.94,7.1,6.68,5.82,5.53,5.04,4.77,8.77,9.23,9.8,9.73,9.39,8.84,
