geo,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,0,0,0,0,0,0,0,0,0,0,48.9,0,49,64.6,67.8,70,72.8,73.7,72.9,0,0,73.8,0,73.3,0,0,78.9,0,0,0,0,0,77.4,0,0,0,0,0,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,49.8,0,0,0,0,52.5,0,0,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,75,0,89,64.8,0,0,0,0,0,0,0,0,0,0,0,
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,0,0,0,
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,0,0,54.9,0,0,0,51.4,0,0,0,0,0,54.6,0,0,0,62,0,0,0,65.9,0,0,0,0,69.1,69,0,0,0,0,0,72.5,0,0,0,0,0,0,0,
Japan,42,0,44.6,0,55.5,0,53,0,52.1,0,52.6,0,59.3,0,60.5,0,60.4,0,62.2,0,0,0,0,57.3,0,62.8,64.5,56.3,0,57.9,0,64,0,58.6,0,56.6,60.4,54.1,0,55.9,0,0,0,52,54.3,0,0,0,0,0,0,0,0,54.7,39.8,0,
Jordan,0,0,0,0,0,0,0,0,0,0,0,26.1,0,0,0,25.2,0,0,0,0,0,0,26,0,26.5,0,0,0,0,40,0,0,0,0,0,0,52.6,0,0,0,0,55.8,0,0,0,0,57.1,0,59.3,0,0,61.2,0,0,0,0,
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0,0,66.1,0,0,0,0,0,0,50.7,0,0,0,0,51,0,0,0,55.7,0,
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,0,26.9,0,0,0,32.7,0,0,0,0,39,0,0,0,0,39.3,0,0,0,0,0,45.5,0,0,0,0,58,66.3,61.6,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,36.1,0,0,0,21.5,0,0,0,20,22.3,0,0,0,0,0,0,0,
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34.6,0,0,0,0,0,0,49.8,0,50.2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,36.3,0,42,0,0,
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,20,0,0,0,0,32.2,0,0,0,0,38.4,0,0,0,0,0,0,49.8,0,0,0,0,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lebanon,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,0,0,0,62.7,0,58,0,58,0,0,0,0,54.5,0,0,0,0,0,0,0,
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,29.1,0,0,0,0,30.4,40.6,38,0,37.3,0,0,0,0,47,0,50.7,0,0,60.2,0,0,
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11.4,0,0,0,0,0,20.2,0,0,31,
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,0,0,0,0,0,0,0,0,0,0,0,41.9,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,0,0,0,0,0,0,62.9,0,0,0,0,0,0,0,0,0,0,
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,40.2,0,0,0,0,0,
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,19.4,0,25,18.8,0,0,0,27.1,0,0,0,0,39.9,0,0,0,39.8,0,0,0,
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,13,0,0,0,21.9,0,0,0,30.6,0,0,0,32.5,0,41,0,0,0,46.1,0,0,0,58.6,0,59.2,
