geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,5.71,7.06,5.28,4.97,5.55,6.49,8.21,7.32,7.52,7.86,6.64,7.39,7.76,8,8.3,9.34,8.37,6.78,5.88,9.6,9.05,12.8,11.6,10.4,11.3,11.2,10.9,10.3
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,5.11,0,0,3.36,
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,9.1,9.5,9.6,9.8,9.6,9.3,9.7,10,10.9,11.2,0,20.1,0,0,10.1,10.1,19,21.2,23.4,21.3,17.3,15.6,15.3,13.8,12.7,11.3,10.3,10.7,12.3,13.7,16,16.8,18.3,16.9,13.8,11.9
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12.3,11.2,9.38,9.64,8.26,5.76,4.63,3.4,2.21,2.21,2.22,1.87,1.97,1.99,2.71,3.51,3.62,3.55,3.1,0,0,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,10.5,5.3,3.1,2.6,2.4,2.6,2.9,4.5,4.1,4.1,4.2,5,4.7,3.8,3.3,2.5,4.4,2.23,4.1,3.9,3.7,4.3,4.5,4.2,7.9,7.33,5.72,4.17,4.58,5.42,6.48,5.4,4.58,4.24,5.47,6.41,7.63,11.1,15.2,15.1,14.8,13.3,11.3
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.07,3,5.44,5.19,4.81,4.66,5.12,7.55,10.1,10.5,9.61,8.55,9.64,9.65,9.79,8.85,6.74,5.61,7.73,8.46,7.89,8.21,8.29,7.39,6.07,4.67,3.58
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,3.9,5,6.9,8.3,7.4,7.6,9.2,10,10.4,10.2,9.49,7.77,7.13,7.32,8.9,8.92,10,9.87,11.1,9,8.65,8.4,6.44,6.4,5.9,4.97,4.78,4.32,5.75,5.44,5.28,4.53,4.2,3.73,5.31,6.46,7.47,7.55,7.27,6.82,6.44,6.64,5.94
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,10,0,0,0,0,0,27.3,0,19.4,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,28.6,23.8,24.9,23.8,26,15.8,26.5,30.7,9.71,8.86,7.56,7.37,7.89,7.04,8.35,9.21,10.5,9.69,10.8,10.7,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,10.3,10.9,2.58,12.8,13,11.2,8.62,8.72,14.1,12.6,15.9,19.3,6.44,5.21,13.9,6.16,5.7,4.7,4.36,3.9,4.98,5.86,4.95,4.27,3.81,3.65,4.13,4.5,5.81,4.9
